image_names	composition	xmin	xmax	ymin	ymax
/Users/krithik/Downloads/image-classification/Training Images/useful/sagittal16.png	Calcified Tissue	235	325	174	191
/Users/krithik/Downloads/image-classification/Training Images/useful/sagittal16.png	Calcified Tissue	237	298	197	214
/Users/krithik/Downloads/image-classification/Training Images/useful/sagittal17.png	Calcified Tissue	224	303	167	207
/Users/krithik/Downloads/image-classification/Training Images/useful/sagittal18.png	Calcified Tissue	116	175	169	195
/Users/krithik/Downloads/image-classification/Training Images/useful/sagittal19.png	Calcified Tissue	138	208	170	193
/Users/krithik/Downloads/image-classification/Training Images/useful/sagittal20.png	Calcified Tissue	117	171	170	186
/Users/krithik/Downloads/image-classification/Training Images/useful/sagittal21.png	Calcified Tissue	336	366	137	158
/Users/krithik/Downloads/image-classification/Training Images/useful/sagittal21.png	Lipid Core	374	426	145	154
/Users/krithik/Downloads/image-classification/Training Images/useful/sagittal21.png	Fibrous Tissue	223	307	157	183
/Users/krithik/Downloads/image-classification/Training Images/useful/sagittal22.png	Calcified Tissue	290	343	153	173
/Users/krithik/Downloads/image-classification/Training Images/useful/sagittal22.png	Fibrous Tissue	355	413	148	162
/Users/krithik/Downloads/image-classification/Training Images/useful/sagittal23.png	Calcified Tissue	288	354	149	175
/Users/krithik/Downloads/image-classification/Training Images/useful/sagittal23.png	Fibrous Tissue	257	312	183	200
/Users/krithik/Downloads/image-classification/Training Images/useful/sagittal23.png	Lipid Core	360	399	148	175
/Users/krithik/Downloads/image-classification/Training Images/useful/sagittal24.png	Calcified Tissue	276	349	160	188
/Users/krithik/Downloads/image-classification/Training Images/useful/sagittal24.png	Lipid Core	356	396	144	170
/Users/krithik/Downloads/image-classification/Training Images/useful/sagittal24.png	Calcified Tissue	403	426	133	157
/Users/krithik/Downloads/image-classification/Training Images/useful/sagittal25.png	Calcified Tissue	349	416	140	183
/Users/krithik/Downloads/image-classification/Training Images/useful/sagittal25.png	Lipid Core	422	480	136	163
/Users/krithik/Downloads/image-classification/Training Images/useful/sagittal25.png	Calcified Tissue	483	515	127	144
/Users/krithik/Downloads/image-classification/Training Images/useful/sagittal26.png	Calcified Tissue	303	370	151	187
/Users/krithik/Downloads/image-classification/Training Images/useful/sagittal27.png	Calcified Tissue	179	255	172	205
/Users/krithik/Downloads/image-classification/Training Images/useful/sagittal27.png	Fibrous Tissue	288	333	143	170
/Users/krithik/Downloads/image-classification/Training Images/useful/sagittal27.png	Fibrous Tissue	264	293	167	188
"/Users/krithik/Downloads/image-classification/Training Images/useful/sagittal28.png					"	Calcified Tissue	203	285	143	183
/Users/krithik/Downloads/image-classification/Training Images/useful/sagittal29.png	Calcified Tissue	459	517	137	164
/Users/krithik/Downloads/image-classification/Training Images/useful/sagittal30.png	Calcified Tissue	349	502	151	182
/Users/krithik/Downloads/image-classification/Training Images/useful/sagittal30.png	Lipid Core	476	517	190	217
/Users/krithik/Downloads/image-classification/Training Images/useful/sagittal30.png	Calcified Tissue	427	469	184	195
/Users/krithik/Downloads/image-classification/Training Images/useful/sagittal31.png	Calcified Tissue	450	523	132	169
/Users/krithik/Downloads/image-classification/Training Images/useful/sagittal31.png	Calcified Tissue	140	179	136	164
/Users/krithik/Downloads/image-classification/Training Images/useful/sagittal31.png	Calcified Tissue	343	368	138	160
/Users/krithik/Downloads/image-classification/Training Images/useful/sagittal31.png	Calcified Tissue	410	438	146	168
/Users/krithik/Downloads/image-classification/Training Images/useful/sagittal32.png	Calcified Tissue	350	521	126	173
/Users/krithik/Downloads/image-classification/Training Images/useful/sagittal32.png	Calcified Tissue	281	300	153	173
/Users/krithik/Downloads/image-classification/Training Images/useful/sagittal32.png	Calcified Tissue	428	479	175	195
/Users/krithik/Downloads/image-classification/Training Images/useful/sagittal33.png	Calcified Tissue	118	140	147	177
/Users/krithik/Downloads/image-classification/Training Images/useful/sagittal34.png	Calcified Tissue	204	256	174	193
/Users/krithik/Downloads/image-classification/Training Images/useful/sagittal34.png	Calcified Tissue	397	444	152	170
/Users/krithik/Downloads/image-classification/Training Images/useful/sagittal34.png	Calcified Tissue	488	516	152	172
/Users/krithik/Downloads/image-classification/Training Images/useful/sagittal35.png	Calcified Tissue	249	320	151	191
/Users/krithik/Downloads/image-classification/Training Images/useful/sagittal36.png	Calcified Tissue	249	327	149	192
/Users/krithik/Downloads/image-classification/Training Images/useful/sagittal36.png	Calcified Tissue	235	270	196	216
/Users/krithik/Downloads/image-classification/Training Images/useful/sagittal36.png	Calcified Tissue	213	230	214	227
/Users/krithik/Downloads/image-classification/Training Images/useful/sagittal37.png	Calcified Tissue	203	265	173	195
/Users/krithik/Downloads/image-classification/Training Images/useful/sagittal37.png	Calcified Tissue	482	515	157	176
/Users/krithik/Downloads/image-classification/Training Images/useful/sagittal37.png	Calcified Tissue	399	449	158	176
/Users/krithik/Downloads/image-classification/Training Images/useful/sagittal38.png	Calcified Tissue	118	142	150	176
/Users/krithik/Downloads/image-classification/Training Images/useful/sagittal38.png	Fibrous Tissue	157	240	137	163
/Users/krithik/Downloads/image-classification/Training Images/useful/sagittal39.png	Calcified Tissue	336	367	139	158
/Users/krithik/Downloads/image-classification/Training Images/useful/sagittal39.png	Fibrous Tissue	303	331	149	165
/Users/krithik/Downloads/image-classification/Training Images/useful/sagittal40.png	Calcified Tissue	117	151	166	191
"/Users/krithik/Downloads/image-classification/Training Images/useful/sagittal41.png					"	Calcified Tissue	136	204	172	197
/Users/krithik/Downloads/image-classification/Training Images/useful/sagittal42.png	Calcified Tissue	118	171	167	196
/Users/krithik/Downloads/image-classification/Training Images/useful/sagittal43.png	Calcified Tissue	230	264	175	213
/Users/krithik/Downloads/image-classification/Training Images/useful/sagittal43.png	Calcified Tissue	158	224	214	224
/Users/krithik/Downloads/image-classification/Training Images/useful/sagittal43.png	Calcified Tissue	269	315	166	181
/Users/krithik/Downloads/image-classification/Training Images/useful/sagittal44.png	Calcified Tissue	109	154	170	215
/Users/krithik/Downloads/image-classification/Training Images/useful/sagittal44.png	Calcified Tissue	156	189	172	209
/Users/krithik/Downloads/image-classification/Training Images/useful/sagittal45.png	Calcified Tissue	307	357	164	209
/Users/krithik/Downloads/image-classification/Training Images/useful/sagittal46.png	Calcified Tissue	283	347	167	205
/Users/krithik/Downloads/image-classification/Training Images/useful/sagittal47.png	Calcified Tissue	264	338	168	202
/Users/krithik/Downloads/image-classification/Training Images/useful/sagittal48.png	Calcified Tissue	179	258	175	206
